keywords,filter used,year,upload_date,today,time since upload,title,video_url,age,age1,sex,channel_name,channel_url,subscribers,channel_views,date_joined,cannabis_channel,vaping_channel,channel_type,state,country,description,agerestrict,videolength_mins,videolength_secs,length,video_category,views,likes,dislikes,comments,engagement,popularity,positivity,advertisement,product review,celebratory video,reflective,cautionary video,how to,sum,video cat
vaping cannabis,relevance,2017,30/11/17,1/4/20,28,Cannabis 101: How to Use A Vape Pen - HelloMD,https://www.youtube.com/watch?v=I3vM64Ga7sc,3,2,2,HelloMD,https://www.youtube.com/channel/UCOgmDcdNR0zd0QrxNFzNCZQ,1170,338853,26/2/14,1,0,organization,,USA,"One of the most important steps on your journey towards healing is figuring out which methods of taking cannabis work best for you. Here's a quick ""how-to"" use a vape pen to consume medical marijuana. While vaping is relatively new to the cannabis community, it has quickly become one of the leading methods of consuming medical marijuana and seems to be growing in popularity by leaps and bounds.",0,0,42,42,education,64086,95,29,13,0.000202852,64086,0.001482383,0,0,0,0,0,1,1,How to
vaping THC,rating,2017,31/5/17,1/4/20,34,Club M Shop: Potters cannabis Girl Scout cookie vape cartridge 55% thc,https://www.youtube.com/watch?v=TaZYbHov3mI,,0,1,ClubM,https://www.youtube.com/channel/UCBdkwNegqTZ15C_ZtrM-4PA,190,30292,7/1/16,1,0,organization,,USA,"Girl Scout Cookies, or GSC, is an OG Kush and Durban Poison hybrid cross whose reputation grew too large to stay within the borders of its California homeland. With a sweet and earthy aroma, Girl Scout Cookies launches you to euphoria’s top floor where full-body relaxation meets a time-bending cerebral space. A little goes a long way with this hybrid, whose THC heights have won Girl Scout Cookies numerous Cannabis Cup awards. Patients needing a strong dose of relief, however, may look to GSC for severe pain, nausea, and appetite loss.

https://www.joinclubm.com/shop/cannab...",0,0,50,50,people & blogs,1003,4,0,1,0.000997009,1003,0.003988036,1,0,0,0,0,0,1,Advertisement
vaping marijuana,relevance,2017,7/2/17,1/4/20,37,Dangerous Contaminants Found in Medical Marijuana,https://www.youtube.com/watch?v=vAQYTqC6McI,4,3,1,UC Davis Health,https://www.youtube.com/channel/UCXfbA0e9mbDHdnkESSg8DGg,10700,2261821,9/10/09,0,0,organization,,,"Full story: http://bit.ly/UCDmarijuana

UC Davis physician researchers have found that medical marijuana contains multiple bacterial and fungal pathogens that may cause serious and even fatal infections. They warn that smoking, vaping or inhaling aerosolized marijuana could pose a grave risk to patients, especially those with leukemia, lymphoma, AIDS or other condition that suppresses the immune system. 

See the latest news from UC Davis Health: https://health.ucdavis.edu/newsroom/i...",0,1,51,111,education,3796,28,5,11,0.002897787,3796,0.007376185,0,0,0,0,1,0,1,Warning
vaping marijuana,rating,2017,9/6/17,1/4/20,33,E liquid Weed www.EjuiceMarijuana.com Pineapple Kush Bud Vape,https://www.youtube.com/watch?v=JsLU4R9o4wg,1,1,2,Ejuice Marijuana,https://www.youtube.com/channel/UCpUiEZNTkoTnHZELTKu_lDA,,7513,8/1/17,1,1,organization,,USA,"http://www.ejuicemarijuana.com - E liquid Weed online at E juice Marijuana which has the best Bud Vape. For Premium E liquid Weed E juices, visit us online at http://www.ejuicemarijuana.com

This tropical mix of pineapple and bud makes you feel like you are on a beach in Puerto Rico relaxing in the sand and vaping goodness!

Let’s face it, people love smoking marijuana and people love to vape therefore we have developed the perfect blend of marijuana e juices to give the Vaping community and Mary Jane lovers the best of both worlds with our unique line of Weed Flavored e liquids.

So what are you waiting for? Buy e liquid weed online now at: http://www.ejuicemarijuana.com/weed-e...

Subscribe: https://goo.gl/uSHTH2
Mango Haze Marijuana E Juice - https://goo.gl/NuZAQi
#WeedEliquid
#WeedEjuice
#MarijuanaEjuice",0,0,51,51,people & blogs,352,0,0,,0,352,0,1,0,0,0,0,0,1,Advertisement
vaping THC,relevance,2017,10/7/17,1/4/20,32,Getting high By vape,https://www.youtube.com/watch?v=nHyMcywiFNQ,1,1,1,cool taste,https://www.youtube.com/channel/UCc7cUQZSWxhi2H1UWpQtL4A,719,82428,18/7/15,0,0,individual,,USA,,0,8,38,518,entertainment,14820,126,56,77,0.005195682,14820,0.008502024,0,0,1,0,0,0,1,Celebratory
vaping THC,relevance,2017,10/7/17,1/4/20,32,Getting high By vape,https://www.youtube.com/watch?v=nHyMcywiFNQ,1,1,1,cool taste,https://www.youtube.com/channel/UCc7cUQZSWxhi2H1UWpQtL4A,719,82428,18/7/15,0,0,individual,,USA,,0,8,38,518,entertainment,14820,126,56,77,0.005195682,14820,0.008502024,0,0,0,1,0,0,1,Reflective
vaping THC,relevance,2017,24/1/17,1/4/20,38,HOW TO SMOKE 95% THC DISTILLATE WITH A VAPE PEN,https://www.youtube.com/watch?v=AF1Eh8urp1M,3,2,1,C&C Connoisseurs Cannabis Knowledge,https://www.youtube.com/channel/UCzS2N-rg8o316zoi7KjHpcQ,7980,1780425,3/12/15,1,1,organization,,USA,"For quality Cartridges to refill, I use: https://www.vapepartsmart.com?rfsn=25...
We show you how to load and smoke THC distillate in a vape pen.
*SUBSCRIBE* We Upload Every Monday, Wednesday, Friday, and Saturday.
Be sure to comment and share for a chance to win a great mod!! 
SEE OUR SITE!!: https://cncconnoisseurs.wordpress.com/
Thanks for tuning in, and be sure to comment below with anything you would like to see CHEERS!! John.

C&C Connoisseurs is based out of the Olympic Peninsula in Washington State. We are a product review and reference organization of the Recreational Cannabis industry. Since the legalization of cannabis or marijuana, there's been an explosion in the Recreation Market in both smokable cannabis products along with Cannabis related smoking and Vaping equipment. Here we will be exploring all of the commercially available products with short openings and reviews of concentrates cannabis and other marijuana or cannabis-infused items. We review multiple forms of cannabis and marijuana including concentrates or extracts, hashish, Edibles, funnies, gummies, marijuana brownies, pot brownies, infused drinks, joints, cones, Dank Vapes, Exotic Carts, you name it. We cover the many different styles of concentrates honey crystals, wizard Stones, terp sauce, flavored waxes, distillate, pure terpenes, opal sugar, rosin, live rosin, live resin. We also do many reviews of quality “Heady glass” Heady Glass is a high end, intricate style of glass, usually made by experienced glass artists with visible pop culture, abstract or modern influences. Heady pieces can include special honeycombs, wig wag or detailed embellishments throughout the glass.",1,11,54,714,people & blogs,76331,349,83,139,0.001821016,76331,0.004572192,0,0,0,0,0,1,1,How to
vaping THC,rating,2017,27/5/17,1/4/20,34,How To Turn Wax into Vape Juice Easily (Using Wax Liquidizer): Cannabasics #58,https://www.youtube.com/watch?v=IOHlJMsemZc,3,2,1,RuffHouse Studios,https://www.youtube.com/channel/UCK_Jl1TAsI2dvH_ewDJnDuA,580000,66383562,20/12/07,1,0,organization,,USA,"Learn How To Turn Wax Into Vape Juice Easily Using The Wax Liquidizer Today On Cannabasics. Learn more or purchase wax liquidizer here: https://waxliquidizer.com/

This video uses Wax Liquidizer to show how to convert a low grade shatter, a mid grade Budder and also a high end solvent-less wax cannabis extract into e cig juice for vaporizing in low wattage tanks. It’s very simple, in fact the easiest method to achieve very high quality marijuana vape juice if you have access to good cannabis concentrates.

Save 10% on everything in the Wizard Puff online head shop with the code: ""CANNABASICS"": http://bit.ly/WizardPuff

Nubivagant Hip Hop Culture: https://youtube.com/channel/UCKY8uraR...
",0,6,49,409,howto & style,410953,4670,143,681,0.001657124,410953,0.01136383,0,0,0,0,0,1,1,How to
vaping marijuana,relevance,2017,25/9/17,1/4/20,30,Is Marijuana Vaping Toxic?,https://www.youtube.com/watch?v=qrSDFZNt-to,3,2,3,The Doctors,https://www.youtube.com/channel/UCjH0RBT-7QhpSgLFnPLgD0Q,1390000,854675155,1/10/08,0,0,organization,,,Sales of marijuana oil cartridges used for vaping soared 400 percent between 2015 and 2016. But is this growing trend safe?,0,5,2,302,entertainment,117641,998,279,537,0.004564735,117641,0.008483437,0,0,0,0,1,0,1,Warning
vaping cannabis,rating,2017,13/4/17,1/4/20,35,Leather Vape Batteries Hand Crafted | POTTERS CANNABIS CO,https://www.youtube.com/watch?v=eScttyImNGs,3,2,1,Potters Cannabis Co,https://www.youtube.com/channel/UCdQZuvNQ5q4W4CiYaB1VoWw,33,4914,13/4/17,0,0,organization,,,Hand Crafted Leather Batteries | Potters Cannabis Co,0,1,0,60,people & blogs,2091,8,0,5,0.0023912,2091,0.003825921,1,0,0,0,0,0,1,Advertisement
vaping THC,relevance,2017,17/5/17,1/4/20,34,Marijuana E Liquid ADVANCED Tutorial HOW TO MAKE Cannabis E Juice from weed or keif,https://www.youtube.com/watch?v=IYrD-YAD_Xw,4,3,1,760 Glass,https://www.youtube.com/channel/UCHjOmAaZHEXlw2DNULy86mA,41300,6811260,4/10/14,1,1,organization,,USA,"NEW 2017 Method! Make pure vapeable e liquid at home WITHOUT the use of any glycerin or glycol. Check links for ingredients below
BUY Terpene solution-https://760glass.com/collections/fron...
glass mixing vessel- https://760glass.com/collections/repl...
A cheap straightener with lowtemp settings- http://amzn.to/2rElSqh",1,18,29,1109,people & blogs,1651532,23007,1368,2125,0.001286684,1651532,0.013930702,0,0,0,0,0,1,1,How to
vaping cannabis,rating,2017,10/12/17,1/4/20,27,MY FIRST TIME SMOKING WEED // Storytime Sesh // AO Vape Dima Vaporizer,https://www.youtube.com/watch?v=a2NNr4Ii4KQ,1,1,2,SilencedHippie,https://www.youtube.com/channel/UCRtrCzKb_EeFrgEAEqxGRcw,496000,36500343,13/8/14,1,1,individual,Rhode Island,USA,"This video is intended for legal cannabis patients & adults.
Legal Rhode Island Medical Marijuana Patient.",0,17,26,1046,people & blogs,30021,2768,16,401,0.013357317,30021,0.092202125,0,0,0,1,0,0,1,Reflective
vaping cannabis,rating,2017,4/10/17,1/4/20,29,"Pacer Print - Custom Vape, Cannabis Cartridge Packaging and Commercial Packaging",https://www.youtube.com/watch?v=bjqBGWbQH5A,,0,,Pacer Print,https://www.youtube.com/channel/UCLejsZOQU2e1wEtFpdoyjCg,2,574,4/10/17,0,0,organization,,USA,"Do you have a product that needs custom print and packaging? http://pacerprint.com/

We are your source for custom printed E-Liquid and Vape Boxes. Custome packaging is the best way to brand your vape bottles. This is our specialty. We’ve worked with many companies in the industry like yours to help make their packaging stand out. If you need a custom size fill out the form below and one of our expert e-Liquid / vape box staff members will help find the best box for your vape products.
LABELS
Customize Your Vape e-juice Product with selecting the right Label and material. Our expert account managers will help you find the right solutions.
Vape Bottle Label Sizes
_
10ml
15ml
30ml
60ml
100ml
120ml
200ml",0,2,4,124,education,575,7,0,0,0,575,0.012173913,1,0,0,0,0,0,1,Advertisement
vaping cannabis,rating,2017,12/9/17,1/4/20,30,Quick Hits | To Vape or Not to Vape: Cannabis’ Rising New Trend,https://www.youtube.com/watch?v=6aQRlhU36HU,1,1,3,DOPE Magazine,https://www.youtube.com/channel/UCJE-RijmX2SCmxc0p77q5IQ,5900,1330354,23/4/15,1,0,organization,,USA,"In this episode, we ask the tough questions and examine vaporizers’ astronomical rise in popularity.

Read the Full Story:
http://www.dopemagazine.com/vape-not-...",0,1,0,60,entertainment,273,2,0,0,0,273,0.007326007,1,0,0,0,0,0,1,Advertisement
vaping THC,relevance,2017,28/3/17,1/4/20,36,THC CANNABIS OIL Vapor Cartridge Refilling. All Cartridges Are Not Equal!!,https://www.youtube.com/watch?v=rE-1PqTVh5w,3,2,1,C&C Connoisseurs Cannabis Knowledge,https://www.youtube.com/channel/UCzS2N-rg8o316zoi7KjHpcQ,7980,1780425,3/12/15,1,1,organization,,USA,"John utilizes pure CO2 THC oil to refill two styles or cartridges and, Through complete failure, highlights a common trait among different systems that many people may not know about
For the Filler Tip : https://www.vapepartsmart.com/luer-lo...
For The Best Refillable Carts, I Use : https://www.vapepartsmart.com?rfsn=25... 
Thanks for tuning in, and be sure to comment below with anything you would like to see CHEERS!! John.
",1,18,42,1122,people & blogs,70092,372,46,85,0.001212692,70092,0.00530731,0,0,1,0,0,0,1,Celebratory
vaping marijuana,rating,2017,7/9/17,1/4/20,30,THC Medical Marijuana Minute - Vaping vs Edibles,https://www.youtube.com/watch?v=tv-7_IDcEVI,3,2,3,Tetra Health Centers,https://www.youtube.com/channel/UC9oFoPNhRuJLDU48CdiG0mQ,96,,,0,0,organization,,,Florida Medical Marijuana,0,3,37,217,education,371,1,0,0,0,371,0.002695418,0,0,0,0,0,1,1,How to
vaping THC,rating,2017,9/11/17,1/4/20,28,THC Vape Drops - Benefits to Vaping,https://www.youtube.com/watch?v=kZlUPJ1elsA,,0,1,Jonathan Devonos,https://www.youtube.com/channel/UC66iWxtFK-colRVe2Yooceg,8,,,1,1,individual,,USA,"THC Vape Drops - http://www.cbdvapeoffers.com (Amazing Vape Deals) - If you're searching for THC Vape Drops then this video should help you better understand why many people vape with CBD oil. 

CBD vape juice has many benefits of which are explained in this video. 

Thanks for watching this video guide on THC Vape Drops",0,1,31,91,education,10,1,0,0,0,10,0.1,1,0,0,0,0,0,1,Advertisement
vaping cannabis,relevance,2017,10/11/17,1/4/20,28,The Benefits of Vaping Cannabis | CannaVlog #63,https://www.youtube.com/watch?v=WL5AhGFSMow,3,2,1,ISMOKE,https://www.youtube.com/channel/UC_24jKIAWs4f3nk21CGgVRg,31700,4534360,3/3/16,1,0,organization,,UK,"Today we're discussing the benefits of vaping cannabis as a consumption method. 

",0,8,4,484,entertainment,15275,266,6,49,0.003207856,15275,0.017414075,0,0,0,1,0,0,1,Reflective
vaping marijuana,relevance,2017,5/11/17,1/4/20,28,The Major Benefits to Vaping Vs. Smoking Your Herb,https://www.youtube.com/watch?v=URRy6TWiqHI,2,1,1,HippieVaporizer,https://www.youtube.com/channel/UCWLCBZvw0YKHbBBk29uNr_Q,431,338600,29/11/13,0,1,organization,,,Check out the 3 major benefits you get from using a vaporizer to consume your herb rather then smoking it.,0,3,42,222,education,4093,26,3,5,0.001221598,4093,0.006352309,1,0,0,0,0,0,1,Advertisement
vaping marijuana,relevance,2017,22/9/17,1/4/20,30,Vaping Cannabis - Las Vegas Marijuana Dispensaries for Beginners,https://www.youtube.com/watch?v=5q2Hn8UE724,3,2,1,The Las Vegas Marijuana Experience,https://www.youtube.com/channel/UCqgV9NdTFLBvlmNTY2sEREw,3790,565401,42924,1,0,organization,Las Vegas,USA,"(UPDATE 6/13/18: The audio on our channel has improved from these early videos)
Most people have never set foot in a legal marijuana dispensary and are not sure what to expect when they do. These videos discuss some basics for anyone planning a trip to Las Vegas and checking out the legal recreational experience, this one is about vaping cannabis. 

Find the info on best deals on vape carts in Vegas on this video: 
https://www.youtube.com/watch?v=lvcOk...


WARNING: the public consumption of cannabis is not allowed in Las Vegas and is punishable with fines up to $1000 & 6 months in jail. This video is in no way giving legal advice or encouraging law breaking and is simply stating the opinion of the videos creator.",0,6,32,392,people & blogs,16881,119,7,40,0.002369528,16881,0.007049345,0,0,0,1,0,0,1,Reflective
vaping marijuana,relevance,2017,22/9/17,1/4/20,30,Vaping Cannabis - Las Vegas Marijuana Dispensaries for Beginners,https://www.youtube.com/watch?v=5q2Hn8UE724,3,2,1,The Las Vegas Marijuana Experience,https://www.youtube.com/channel/UCqgV9NdTFLBvlmNTY2sEREw,3790,565401,42924,1,0,organization,Las Vegas,USA,"(UPDATE 6/13/18: The audio on our channel has improved from these early videos)
Most people have never set foot in a legal marijuana dispensary and are not sure what to expect when they do. These videos discuss some basics for anyone planning a trip to Las Vegas and checking out the legal recreational experience, this one is about vaping cannabis. 

Find the info on best deals on vape carts in Vegas on this video: 
https://www.youtube.com/watch?v=lvcOk...


WARNING: the public consumption of cannabis is not allowed in Las Vegas and is punishable with fines up to $1000 & 6 months in jail. This video is in no way giving legal advice or encouraging law breaking and is simply stating the opinion of the videos creator.",0,6,32,392,people & blogs,16881,119,7,40,0.002369528,16881,0.007049345,0,0,0,0,0,1,1,How to
vaping weed,relevance,2017,3/12/17,1/4/20,27,Vaping Purple Weed // Fez Vapor,https://www.youtube.com/watch?v=KOBEdjBrAVg,1,1,2,SilencedHippie,https://www.youtube.com/channel/UCRtrCzKb_EeFrgEAEqxGRcw,496000,36500343,13/8/14,1,1,individual,Rhode Island,USA,"This video is intended for legal cannabis patients & adults.
Legal Rhode Island Medical Marijuana Patient.",1,11,40,700,people & blogs,34570,1068,17,130,0.003760486,34570,0.030893839,0,0,1,0,0,0,1,Celebratory
vaping marijuana,relevance,2017,13/8/17,1/4/20,31,Vaping vs Smoking Cannabis,https://www.youtube.com/watch?v=9Hh4r159eRw,1,1,2,The Vape Stand,https://www.youtube.com/channel/UCCaPJzYzlozgD4PWxkGC_dg,319,95438,22/10/16,0,1,organization,,Australia,"With the legalisation of the use of cannabis for medicinal and also recreational purposes in the United States, it is likely that more countries will follow in their footsteps. This has given rise to a new device for consumption, the technological innovation of vaporizers. The question is, which is better, vaping or smoking?

Please sit back and enjoy, whilst the cute and bubbly Caity explores the advantages of vaping over smoking cannabis!

Important links to medical research:
http://www.maps.org/research-archive/...
https://www.ncbi.nlm.nih.gov/pubmed/1...
http://www.tandfonline.com/doi/abs/10...
https://www.sciencedaily.com/releases...
http://www.canorml.org/healthfacts/Se...
http://bestvapepens.co.uk/biomechanic...

Links to out website and social media:
https://www.thevapestand.com.au/
https://www.facebook.com/TheVapeStand/
https://www.instagram.com/the.vape.st...",0,2,15,135,people & blogs,12921,95,13,18,0.001393081,12921,0.007352372,0,0,0,0,0,0,0,0
vaping marijuana,rating,2017,6/1/17,1/4/20,38,Vaping vs smoking cannabis interview,https://www.youtube.com/watch?v=k_BgyISE9d0,3,2,1,YourCannaLife,https://www.youtube.com/channel/UCasvzeY6vwSvsaZYYQCT-cQ,3060,480269,2/12/16,1,0,organization,,,"Thanks for the interview @ The Cannabist!

If you are ready to open a dispensary & you’re seeking medical marijuana business creation advice, establishing a network with medical marijuana patients, physicians, advocates or businesses then we can discuss hiring us as Medical Marijuana Consultants.

Physicians:

YourCannaLife is seeking to establish a medical marijuana network. We would like to build a network of licensed physicians that are able to recommend prescriptions for potential medical marijuana patients. YourCannaLife would refer potential medical marijuana patients to you. In return you would refer medical marijuana patients to us as caregivers. We would also like to offer you a percentage that is equivalent to our first transactions with the potential registered medical marijuana patient. This arrangement goes both ways as well. You would offer us a percentage of your initial visit for referring the potential medical marijuana patients to your establishment.",0,6,35,395,people & blogs,658,3,0,0,0,658,0.004559271,0,0,0,1,0,0,1,Reflective
vaping weed,rating,2017,19/1/17,1/4/20,38,WeedSnob TV | Newbies Guide to Using a Vape Pen,https://www.youtube.com/watch?v=sl7u3Q9Y4kE,2,1,2,WeedSnob TV,https://www.youtube.com/channel/UCeNov-ruZL1ODJR9RuShu-g,485,32003,24/8/16,1,0,organization,,USA,"In this episode, our host, Masha will show you how to use four different vape cartridges, perfect for those people who don't like to smoke.",1,5,45,345,people & blogs,450,20,0,2,0.004444444,450,0.044444444,0,0,0,0,0,1,1,How to
vaping THC,relevance,2018,1/12/18,1/4/20,16,5 TIPS & TRICKS TO HELP NEW THC OIL PEN USERS,https://www.youtube.com/watch?v=iaQSn6pLtko,2,1,1,LEER G,https://www.youtube.com/channel/UCAry6ZKR_cgcAH7rMAJAzSA,16300,1953278,11/2/17,1,1,individual,,USA,"What's Going On Everybody! 
To those who are new to the channel welcome! 
My name is Leer and today I will be presenting 5 TIPS & TRICKS to hopefully provide a better vaping experience. Have a wonderful night everybody!

TO ALL THOSE WHO HAVE BEEN ASKING IF I TAKE DONATIONS, NOW I DO https://paypal.me/GoodVibesLA310?loca...

GET 20$ OFF 1ST PURCHASE AT EAZE DELIVERY!! HOOKED UP FAT http://hi.eaze.com/leer

Tip #1 is basically just eat good and hydrate.
Tip #2 is to make sure your battery is charged & functional. 
Tip #3 Recognize what kind of oil cartridge you have.
Tip #4 is basically do not overheat battery.
Tip #5 is just be mindful and considerate, be safe and lowkey.

To all youngsters out there i wish much success to you and take care !! Secure the Bag smoking can wait __

GET 20$ OFF AND FREE DELIVERY WITH YOUR 1ST PURCHASE AT EAZE DELIVERY WITH MY LINK HERE http://hi.eaze.com/leer 
*CA & OREGON ONLY*

BUSINESS INQUIRIES - leerg420@gmail.com
My Instagram http://www.instagram.com/highassfoo 

#its420somewhere

Take care guys.",0,10,25,625,people & blogs,127352,1559,178,443,0.003478548,127352,0.012241661,0,0,0,0,0,1,1,How to
vaping cannabis,relevance,2018,22/9/18,1/4/20,18,A Shocking Number of US Teens Are Vaping Marijuana,https://www.youtube.com/watch?v=CG0M478kKyE,1,1,1,CBN News,https://www.youtube.com/channel/UCYI_ychRnL7sJrG6PUSBpQA,260000,74505170,1/4/08,0,0,organization,,USA,A Shocking Number of US Teens Are Vaping Marijuana,0,4,15,255,news & politics,1333,26,13,15,0.011252813,1333,0.019504876,0,0,0,0,1,0,1,Warning
vaping THC,rating,2018,20/6/18,1/4/20,21,"Babyton, a leading cbd/THC vape pen manufacturer with No.1 brand “BBtank”.",https://www.youtube.com/watch?v=ekMs4Us4HDg,,0,,Bbtank Babyton,https://www.youtube.com/channel/UCuOopdkFtsw0bnsxuAgTmJQ,46,,,1,1,organization,Shenzhen,China,"Shenzhen Babyton Technology specialized in production and research for CBD/THC vape products for years and has established No.1 brand “BBTANK” in the vape industry in USA and Canada. Babyton offers one-stop services for your vape products including design, development, production, packaging and shipment. So Babyton has won clients’ praises for premium quality, competitive price, fast delivery and intimate services. 

www.babytontech.com

#michigan #vapepen #vapemodel #vapeshop #smokeshop #vapers #vaping #ecig #dispensary #cannabis #vapecartridge #dabs #bbtank #hightimes #cannabiscip #keepvaping #weedmaps #CBD #Shatter #420 #710 #organic #weedporn #thc #marijuana #California #hemp #kush #medicalmarijuana #mmj",0,2,45,165,people & blogs,429,4,0,0,0,429,0.009324009,1,0,0,0,0,0,1,Advertisement
vaping weed,relevance,2018,11/12/18,1/4/20,15,BEST Cheap Dry Herb Vaporizers - 9 Weed Vapes under $150,https://www.youtube.com/watch?v=jAvkXm-KBkA,3,2,1,420vapezone,https://www.youtube.com/channel/UCjyoKv-9Eed3pgNqij7TSRg,27200,1056810,9/7/18,1,1,organization,,USA,"In this mega dry herb vape sesh, I demo and review the 9 best cheap dry herb vapes. These vapes are cheap on the price and high in value. No junk here. Just great budget vapes! 
FULL GUIDE: https://420vapezone.com/best-budget-v...
Vape Links:
VapCap M: https://420vapezone.com/go/puffitup-v...
Healthy Rips Fury 2: https://420vapezone.com/go/hr-fury-2/
Flowermate V5s: https://420vapezone.com/go/flowermate...
Xvape Starry: https://420vapezone.com/go/potv-starry/
Boundless CF: https://420vapezone.com/go/puffitup/
Flowermate NANO: https://420vapezone.com/go/potv-flowe...
Xvape FOG: https://420vapezone.com/go/puffitup-fog/
Pax 2: https://420vapezone.com/go/pax-2-2/

My Patreon: https://www.patreon.com/420vapezone",1,30,31,1831,howto & style,226997,4764,108,859,0.003784191,226997,0.020987062,0,1,0,0,0,0,1,Product Review
vaping THC,rating,2018,13/4/18,1/4/20,23,"CBD cartridge for vaping, Amazing performance, cbd thc vape cartridge Innseed I3 Cartridge",https://www.youtube.com/watch?v=FzvHEePolZI,1,1,1,INNSEED,https://www.youtube.com/channel/UCP6gs28Yo1bnQw_sn-WHxHw,3,486,9/11/17,1,1,organization,,,"Innseed high quality i2 cbd vape cartridge
Chinese famous wholesale cbd cartridge manufacturer
Get more infos, please contact us or follow us, Thanks for your support.",1,0,43,43,people & blogs,47,1,0,0,0,47,0.021276596,1,0,0,0,0,0,1,Advertisement
vaping cannabis,rating,2018,6/6/18,1/4/20,21,"Custom Printed Vape Cartridge Boxes by Shatter Labels , #1 Cannabis Packaging Company",https://www.youtube.com/watch?v=0oP98AassaM,4,3,2,SHATTER LABELS #1 Cannabis Packaging Company,https://www.youtube.com/channel/UCgkLAELn3nIBUKIb2y4zxww,376,111167,14/10/15,1,0,organization,,USA,"Custom Printed Vape Cartridge Boxes by Shatter Labels - Fully Customized - Size 3.5“T x 2.75”W x 1“D

Please give us a call today at 1-800-585-9509 to get a direct quote or you can email us at info@shatterlabels.com 
FREE LOGO and PACKAGING Design when you place your order. 

website: https://shatterlabelsstore.com/",0,0,52,52,science & technology,607,11,0,1,0.001647446,607,0.018121911,1,0,0,0,0,0,1,Advertisement
vaping THC,relevance,2018,27/6/18,1/4/20,21,Dude Tries Pure THC Liquid Weed For The First Time!,https://www.youtube.com/watch?v=mYJ6qgDkQdg,1,1,1,Karim Aouini,https://www.youtube.com/channel/UCFpmlPykZjVh6mT4wvqUXDw,,351786,22/6/18,1,0,individual,,USA,Buy High THC Legal Marijuana Online 10+10 Free ____ https://shop.ilovegrowingmarijuana.co...,0,1,44,104,people & blogs,24947,340,32,64,0.002565439,24947,0.013628893,0,0,1,0,0,0,1,Celebratory
vaping marijuana,rating,2018,29/6/18,1/4/20,21,Firebrand extracts medical marijuana Vape cartridge review,https://www.youtube.com/watch?v=j-CvjVzgfJA,2,1,1,Imblowd,https://www.youtube.com/channel/UCL98AzfVLAFmAG1erqDcQWg,2590,360594,24/6/08,1,1,individual,Arizona,USA,"This was a medical marijuana Vape cartridge review of Firebrand extracts there live resin from fresh dried and cured cannabis flower uncut no additives they also use one of the hardest hit in 5-10 thread ceramic coil atomizers that they can find
from what they say 
Have you tried it what do you think now this is out here in Arizona is it in your state?",1,4,18,258,people & blogs,1189,39,0,19,0.015979815,1189,0.032800673,0,1,0,0,0,0,1,Product Review
vaping THC,relevance,2018,19/2/18,1/4/20,25,HALF GRAM VAPE CHALLENGE (STONED),https://www.youtube.com/watch?v=rATyt_QfFbg,1,1,1,DreamersHustle47,https://www.youtube.com/channel/UCeQJgRyPzT43Yi8HwoTK8sg,25200,1623066,21/9/15,1,1,individual,,USA,"HALF GRAM VAPE CHALLENGE

I attempt to destroy this half gram cartridge. Shout out to LAKUSH for this awesome product.",1,12,18,738,entertainment,1303848,19141,1808,4895,0.003754272,1303848,0.014680392,0,0,1,0,0,0,1,Celebratory
vaping THC,relevance,2018,19/2/18,1/4/20,25,HALF GRAM VAPE CHALLENGE (STONED),https://www.youtube.com/watch?v=rATyt_QfFbg,1,1,1,DreamersHustle47,https://www.youtube.com/channel/UCeQJgRyPzT43Yi8HwoTK8sg,25200,1623066,21/9/15,1,1,individual,,USA,"HALF GRAM VAPE CHALLENGE

I attempt to destroy this half gram cartridge. Shout out to LAKUSH for this awesome product.",1,12,18,738,entertainment,1303848,19141,1808,4895,0.003754272,1303848,0.014680392,0,0,0,1,0,0,1,Reflective
vaping marijuana,rating,2018,27/11/18,1/4/20,16,How to Smoke Cannabis vs Vaping Cannabis,https://www.youtube.com/watch?v=zGyrfGB2r4M,2,1,2,"Lolita Korneagay, RN - Cansoom",https://www.youtube.com/channel/UCUSAB2fQQNNin7mqFCUqzeA,263,17314,11/11/18,1,0,individual,,USA,"Want to know the difference between smoking cannabis and vaping cannabis? Here's the quick and simple answer.

Learn more about me: https://www.cansoom.com/lolitakorneagay/

Follow me on IG: https://instagram.com/nurselolitak

***Medical Disclosure****

The information contained on this web site is presented for the purpose of educating people about cannabis. Nothing contained on this web site should be construed nor is intended to be used for medical diagnosis or treatment. It should not be used in place of the advice of your physician or other qualified health care provider. Should you have any health care related questions, please call or see your physician or other qualified health care provider promptly. Always consult with your physician or other qualified health care provider before embarking on a new treatment, diet, or fitness program.

You should never disregard medical advice or delay in seeking it because of something you have read on this web site.",0,5,47,347,people & blogs,248,6,0,1,0.004032258,248,0.024193548,0,0,0,1,0,0,1,Reflective
vaping marijuana,rating,2018,19/10/18,1/4/20,17,"Parent University: Not Just Blowing Smoke - Teens Vaping, E-Cigarettes & Marijuana October 11, 2018",https://www.youtube.com/watch?v=E7DeBdSY_UI,3,2,2,"Portland Public Schools, Maine",https://www.youtube.com/channel/UC1jAUpymLaMHlTRuMtgJH_w,365,111755,5/8/11,0,0,organization,Maine,USA,Staff from the City of Portland's Public Health Division gave a presentation about the products used by teens and the health risks associated with the use of those products.,0,57,33,3453,education,147,2,0,0,0,147,0.013605442,0,0,0,0,1,0,1,Warning
